Monthly Change Average,Total Volume,Volatility
0.021340714752727856,2623238702,1.331218596661814
0.17914642302607936,2794324246,1.3658468658130891
0.130245149483755,2897240204,1.1423091229018456
0.04306010951182895,2641924793,1.2078138511387788
0.06206329045732822,2157095657,1.12918418713861
0.08337115475179359,2506845918,1.2495048269706384
-0.00032785473239243336,2328404007,1.136489752886929
0.0005046472557337315,2312304130,1.2241914931145004
0.022583122420887895,2563662976,1.2633581129425187
0.10145189347211436,2885623830,1.269215341491268
0.05666264007022796,2304661202,1.3062140216256874
0.025223813461039607,2450916234,1.2738852344084715
